Target,CS,AmountTypes,AmountNA,HighestRF,LowestRF,VarianceRF,AverageDistanceT-A,HighestDistanceT-A,LowestDistanceT-A,VarianceDistanceT-A,AverageDistanceA-A,HighestDistanceA-A,LowestDistanceA-A,VarianceDistanceA-A,VariancePOS
shun,2.58,129,56,0.0942622950819672,0.0040983606557377,0.0510357505732665,0.8340454545454545,1.117,0.446,0.039422666994267004,0.8106363636363635,1.027642201834862,0.6485229357798166,0.033893864497476035,1305.29
aggravate,2.26,109,30,0.1444444444444444,0.0037037037037037,0.0463788323374188,0.7575,1.131,0.065,0.06914335702970296,0.8153252525252526,1.0344141414141417,0.6630101010101009,0.026367579905909787,1364.77
roam,2.85,113,18,0.1843971631205673,0.0035460992907801,0.07117168235655151,0.7755392156862744,1.148,0.238,0.0661476316390634,0.805440108716754,1.0993069306930694,0.6597425742574258,0.04870364085802646,1856.93
disbelieve,2.19,131,51,0.1325301204819277,0.0040160642570281,0.036237809470814994,0.909146551724138,1.192,0.623,0.035419413498379015,0.7983527736131935,1.0751478260869565,0.6445130434782608,0.02247544181254969,1231.88
sue,3.07,100,26,0.1386861313868613,0.0036496350364963,0.09313291323538023,0.7056250000000001,1.096,0.385,0.08650325277777778,0.7320987654320987,1.1309375,0.5676375,0.07695045541676074,4409.12
evacuate,3.3,90,9,0.1284722222222222,0.0034722222222222,0.11919702623551001,0.7292564102564102,1.13,0.361,0.11118426614735473,0.7787788877788879,1.1654935064935064,0.6228571428571429,0.09099757388143119,2698.44
abandon,2.54,117,21,0.2078853046594982,0.003584229390681,0.0547112727599335,0.7282083333333333,1.084,0.333,0.05869087242268042,0.7999006578947369,1.047915789473684,0.6337894736842106,0.037832060718436755,1522.9
disperse,2.85,139,41,0.0965250965250965,0.0038610038610038,0.05787743794171741,0.7974297520661158,1.148,0.282,0.05580371175992414,0.8041994490358126,1.097425,0.6303166666666667,0.042652847281496056,1589.34
criticize,2.03,166,18,0.0496453900709219,0.0035460992907801,0.02456533421945127,0.7061830065359478,1.079,0.356,0.03537510126474832,0.7936587725999491,1.0266666666666666,0.6298627450980392,0.01631256190979436,1498.93
despise,2.12,92,33,0.3033707865168539,0.0037453183520599,0.04892126064034594,0.7228765432098766,1.076,0.172,0.06275753583258056,0.7689117283950617,0.9905875,0.6503125,0.027166916137270403,1735.82
reappear,3.19,122,43,0.1167315175097276,0.0038910505836575,0.08250244523688703,0.8748282828282828,1.141,0.362,0.0742959995959596,0.7514281591424449,1.071408163265306,0.5736428571428571,0.07093068678900627,1286.9
bury,3.82,76,30,0.1185185185185185,0.0037037037037037,0.18862908993396318,0.7298428571428571,1.048,0.464,0.14891669255533196,0.7751772256728778,1.0600579710144926,0.6385072463768118,0.13952491675928289,1808.62
snatch,3.86,78,40,0.2192307692307692,0.0038461538461538,0.18832418410990054,0.8137058823529413,1.121,0.421,0.15348665515771526,0.818862159789289,1.0694776119402984,0.6785820895522388,0.13955834226413452,2353.17
offend,1.68,146,23,0.0866425992779783,0.003610108303249,0.01915940420620374,0.7542230215827339,1.077,0.27,0.03549721742034943,0.7882363674277969,1.0527826086956522,0.6618913043478261,0.01160133777293585,1692.22
appraise,1.73,115,52,0.1491935483870967,0.0040322580645161,0.025774462547602368,0.9442745098039216,1.258,0.399,0.03441851989339425,0.7767119006018248,1.1122772277227722,0.617148514851485,0.018171277583730917,2719.88
imitate,2.66,122,18,0.1631205673758865,0.0035460992907801,0.057447269132184176,0.7611415094339621,1.074,0.253,0.05596760994533593,0.8061398342444014,1.047688679245283,0.6595849056603773,0.038279999187050336,1903.34
decompose,3.0,109,11,0.1349480968858131,0.0034602076124567,0.08163650222001968,0.7898659793814432,1.146,0.357,0.07517552419524509,0.8422293814432988,1.0643645833333333,0.7021041666666666,0.053049041270809213,3587.39
abduct,2.88,88,30,0.198501872659176,0.0037453183520599,0.09317258993163549,0.8580779220779221,1.174,0.236,0.08003231168831168,0.7787419685577579,1.148434210526316,0.6365394736842106,0.06529856908534679,1026.54
soothe,2.14,121,27,0.1611721611721611,0.0036630036630036,0.03749395719311379,0.7629734513274337,1.132,0.147,0.04904176711690731,0.8114808786346396,1.0206607142857145,0.6960535714285714,0.01979000258307649,1718.27
canvass,4.08,113,21,0.1111111111111111,0.003584229390681,0.14558817651213063,0.9253505154639176,1.215,0.555,0.11919503439932676,0.7888354810996563,1.0991562499999998,0.6264062499999999,0.1189698035889157,2442.62
deteriorate,3.0,129,23,0.0577617328519855,0.003610108303249,0.06895631476665243,0.7589189189189188,1.114,0.196,0.07596840926640924,0.8067225225225225,1.0599363636363637,0.6880909090909091,0.04748070294922726,1656.71
mow,4.32,68,56,0.2254098360655737,0.0040983606557377,0.27009367223607944,0.8360862068965518,1.111,0.479,0.22700839509059037,0.7960447670901393,0.9645614035087718,0.6708771929824561,0.21510913066539022,2843.07
announce,3.31,140,16,0.056338028169014,0.0035211267605633,0.0774374367169956,0.6969618320610688,1.117,0.267,0.08255287207957437,0.7784615384615385,1.0804769230769231,0.6038538461538462,0.05793318157533599,2575.21
interrupt,3.0,121,31,0.137546468401487,0.0037174721189591,0.07366874521660684,0.7730666666666667,1.096,0.42,0.0615081275831087,0.790896336996337,1.069442307692308,0.6323846153846154,0.05391505753238355,1430.22
rationalize,1.52,142,38,0.0648854961832061,0.0038167938931297,0.016089003805553365,0.8306475409836065,1.199,0.372,0.03334574743435959,0.7489360520254709,1.1200082644628098,0.5616942148760331,0.018716583568098157,1568.93
usurp,2.32,109,75,0.1333333333333333,0.0044444444444444,0.048811904570681325,0.8607666666666666,1.172,0.489,0.048828004884004884,0.8017113607990012,1.0662584269662922,0.6352247191011237,0.03345131599567092,1621.56
smother,3.1,109,37,0.1254752851711026,0.0038022813688212,0.08709087994712303,0.8389565217391304,1.155,0.302,0.08581048129967275,0.8413714352501168,0.9767826086956524,0.7098369565217391,0.05837511415313985,1692.94
frustrate,1.82,150,25,0.1054545454545454,0.0036363636363636,0.021914311130571223,0.7957664233576643,1.105,0.267,0.04842418322225748,0.7967853591452448,1.0751386861313867,0.6676715328467153,0.014789527229591511,1610.77
adorn,2.38,111,51,0.1325301204819277,0.0040160642570281,0.05041783559838793,0.7854903846153847,1.11,0.203,0.05091927875457875,0.8312479462285288,1.0971650485436892,0.6848058252427184,0.030614921232870556,1866.18
evict,3.18,111,39,0.0727969348659003,0.003831417624521,0.08996665857437755,0.8355376344086023,1.142,0.391,0.08291251029512699,0.7904256661991585,1.0885869565217392,0.6146630434782608,0.07135818084300893,1533.57
demolish,3.46,103,22,0.1745454545454545,0.0036363636363636,0.11487632901079503,0.7797209302325581,1.102,0.148,0.11687006602512696,0.793621340629275,1.0686823529411766,0.6530823529411766,0.08905561378300308,2253.11
lubricate,4.18,78,15,0.1789473684210526,0.0035087719298245,0.22049049685374947,0.8628840579710145,1.242,0.537,0.17847825859213245,0.8320451832907075,1.0186323529411767,0.7364264705882355,0.1641078759476169,3162.67
suffocate,3.74,104,22,0.0755395683453237,0.0035971223021582,0.1327459894290276,0.8371340206185567,1.139,0.28,0.11831218682937093,0.8275912800687285,1.0690208333333333,0.6891562499999999,0.09367017439538369,1938.04
rejoice,2.17,104,27,0.1355311355311355,0.0036630036630036,0.04477450425595818,0.7753295454545456,1.09,0.453,0.047053704545454544,0.7829114420062695,0.999471264367816,0.6099655172413793,0.030038920634621814,1803.07
confuse,2.04,165,28,0.0334572490706319,0.0037174721189591,0.02495116321945878,0.7357173913043479,1.081,0.201,0.04150396079658013,0.8088763355548503,1.0607372262773724,0.6521532846715329,0.01936514937698082,930.99
erupt,3.7,88,17,0.3074204946996466,0.0035335689045936,0.1540534933614648,0.7798533333333333,1.079,0.47,0.13187556263157893,0.8060857657657658,1.0349459459459458,0.6759594594594595,0.11708752140043319,3759.39
prosecute,2.44,103,15,0.1228070175438596,0.0035087719298245,0.05711594660826297,0.6843977272727273,1.043,0.269,0.06325206409601634,0.7327753396029258,1.0753563218390805,0.5679655172413792,0.04494255673439358,4201.96
mistreat,2.47,116,26,0.1642335766423357,0.0036496350364963,0.05210315860613638,0.871552380952381,1.319,0.446,0.05342528238993711,0.7971434065934067,1.0390192307692308,0.6585192307692307,0.03247029398548356,1913.57
reap,3.14,72,40,0.2023346303501945,0.0038910505836575,0.1346281925003191,0.813578125,1.146,0.532,0.10217676778846153,0.7799206349206349,0.9926190476190476,0.6231111111111111,0.09364170577504506,2214.1
perish,3.22,113,36,0.2765151515151515,0.0037878787878787,0.09113262972272586,0.857495145631068,1.204,0.434,0.08063073151605678,0.7988515134209023,1.12628431372549,0.6513823529411763,0.06517983646100814,2000.99
vacate,3.39,72,29,0.2611940298507462,0.003731343283582,0.15761463129218625,0.7955322580645161,1.08,0.445,0.1286550460829493,0.7585924219150026,1.000741935483871,0.5661935483870968,0.11878676457822332,1632.49
disappoint,1.89,103,29,0.1881918819188192,0.003690036900369,0.03447475746040175,0.7669361702127659,1.062,0.355,0.03935748331466964,0.7457522306108443,0.9581935483870968,0.5992258064516128,0.022526261869809463,1325.57
condemn,1.96,147,28,0.0919117647058823,0.0036764705882352,0.025862650354259352,0.7051605839416059,1.078,0.129,0.03943524177509786,0.7666980463718334,1.03525,0.6265367647058823,0.0170440986378338,2020.27
discourage,1.9,165,49,0.0597609561752988,0.0039840637450199,0.02165033574256855,0.694390625,1.057,0.198,0.042152336240310076,0.7490305118110236,1.0193385826771657,0.5802834645669291,0.01851327379351634,1148.32
overpower,2.59,141,19,0.0747330960854092,0.0035587188612099,0.04707294530701452,0.8571923076923077,1.163,0.338,0.04875479929536112,0.7950862254025045,1.0594341085271315,0.6412248062015503,0.033154254871153366,1933.82
enrage,2.69,101,13,0.2090592334494773,0.0034843205574912,0.07095116003404797,0.8615483870967742,1.229,0.158,0.09578602150537634,0.8248424497428706,0.9855869565217392,0.6754130434782608,0.042566303903131084,2281.79
poach,3.38,82,28,0.2180451127819548,0.0037593984962406,0.13734808529657125,0.9056578947368421,1.21,0.582,0.09992629835953519,0.826120701754386,1.0428266666666668,0.67804,0.0902112520105719,2921.29
integrate,2.08,147,23,0.0794223826714801,0.003610108303249,0.02913081618517931,0.7044656488549618,1.168,0.288,0.039742223629424006,0.7817304756312389,1.135653846153846,0.6240076923076924,0.021732230789337892,1659.73
